2022-02-16 10:17:40,189 [main] INFO  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext(prepareRefresh:592) - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@7a5d012c: startup date [Wed Feb 16 10:17:40 KST 2022]; root of context hierarchy
2022-02-16 10:17:41,531 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker(postProcessAfterInitialization:326) - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$6f684ebd] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-02-16 10:17:42,385 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(initialize:91) - Tomcat initialized with port(s): 8180 (http)
2022-02-16 10:17:43,050 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader(prepareWebApplicationContext:296) - Root WebApplicationContext: initialization completed in 2861 ms
2022-02-16 10:17:43,161 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean(configure:245) - Mapping filter: 'characterEncodingFilter' to: [/*]
2022-02-16 10:17:43,161 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean(configure:245) - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2022-02-16 10:17:43,161 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean(configure:245) - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2022-02-16 10:17:43,161 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean(configure:245) - Mapping filter: 'requestContextFilter' to: [/*]
2022-02-16 10:17:43,161 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.DelegatingFilterProxyRegistrationBean(configure:245) - Mapping filter: 'springSecurityFilterChain' to: [/*]
2022-02-16 10:17:43,161 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean(addRegistration:187) - Servlet dispatcherServlet mapped to [/]
2022-02-16 10:17:43,576 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean(createNativeEntityManagerFactory:361) - Building JPA container EntityManagerFactory for persistence unit 'default'
2022-02-16 10:17:45,878 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean(buildNativeEntityManagerFactory:415) - Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-02-16 10:17:47,161 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping(registerHandler:372) - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2022-02-16 10:17:47,383 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter(initControllerAdviceCache:589) - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@7a5d012c: startup date [Wed Feb 16 10:17:40 KST 2022]; root of context hierarchy
2022-02-16 10:17:47,440 [main] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration(openEntityManagerInViewInterceptor:238) - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-02-16 10:17:47,476 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/admin/index]}" onto public java.lang.String net.lele.controller.AdminController.index(org.springframework.ui.Model)
2022-02-16 10:17:47,476 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/admin/asklist]}" onto public java.lang.String net.lele.controller.AdminController.ask(org.springframework.ui.Model)
